racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2016,50:10,3010.0,01/05/2016,Kirkbymoorside
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2017,50:20,3020.0,25/06/2017,Penistone
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2018,54:56,3296.0,24/06/2018,Penistone
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2019,54:26,3266.0,01/12/2019,Sheffield
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2021,59:07,3547.0,05/12/2021,Sheffield
Kenny Rowe,Kenny Rowe,https://www.powerof10.uk/Home/Athlete/1fc2a08e-7daa-4e0c-ac0c-f96d616ffa72,p10_10k,2022,1:02:09,3729.0,03/07/2022,Birsay
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2016,37:19,2239.0,18/05/2016,Askern
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2017,36:57,2217.0,05/02/2017,Southport
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2018,39:07,2347.0,06/05/2018,Rotherham
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2019,37:08,2228.0,01/12/2019,Sheffield
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2020,37:15,2235.0,02/02/2020,Dewsbury
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_10k,2021,41:26,2486.0,05/12/2021,Sheffield
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_5k,2016,17:12,1032.0,13/07/2016,Doncaster
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_5k,2017,17:46,1066.0,12/07/2017,Doncaster
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_5k,2018,18:20,1100.0,18/07/2018,Greasbrough
Kevin Doyle,Kevin Doyle,https://www.powerof10.uk/Home/Athlete/76c2ae0a-d755-4487-ae62-259395e0ebdb,p10_5k,2019,20:52,1252.0,10/07/2019,Doncaster
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2016,44:52,2692.0,07/02/2016,Dewsbury
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2017,47:01,2821.0,03/12/2017,Sheffield
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2018,45:42,2742.0,04/02/2018,Dewsbury
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2019,46:55,2815.0,10/02/2019,Scunthorpe
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2020,46:17,2777.0,02/02/2020,Dewsbury
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2021,49:50,2990.0,05/12/2021,Sheffield
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2022,50:36,3036.0,04/12/2022,Sheffield
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2023,57:06,3426.0,11/11/2023,Alton
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2024,56:57,3417.0,24/03/2024,Welshpool
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2025,59:25,3565.0,07/12/2025,Sheffield
Kevin Randall,Kevin Randall,https://www.powerof10.uk/Home/Athlete/ed2a6acd-2cd7-4acb-b214-d63b9cd72d0a,p10_10k,2026,57:39,3459.0,12/04/2026,Tamworth
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2018,45:09,2709.0,02/12/2018,Sheffield
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2019,45:15,2715.0,01/12/2019,Sheffield
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2021,46:46,2806.0,05/12/2021,Sheffield
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2022,48:23,2903.0,04/12/2022,Sheffield
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2023,50:00,3000.0,24/09/2023,Sheffield
Mark Gamsu,Mark Gamsu,https://www.powerof10.uk/Home/Athlete/e3515419-ce99-41da-b5df-3dbfb7292043,p10_10k,2024,50:12,3012.0,29/09/2024,Sheffield
Mark Platton,Mark Platton,https://www.powerof10.uk/Home/Athlete/5807d527-c602-41e8-aa00-5b77a0986c42,p10_10k,2017,43:08,2588.0,03/12/2017,Sheffield
Mark Platton,Mark Platton,https://www.powerof10.uk/Home/Athlete/5807d527-c602-41e8-aa00-5b77a0986c42,p10_10k,2018,42:26,2546.0,02/12/2018,Sheffield
Mark Platton,Mark Platton,https://www.powerof10.uk/Home/Athlete/5807d527-c602-41e8-aa00-5b77a0986c42,p10_10k,2019,42:27,2547.0,07/04/2019,Dronfield Woodhouse
